"","Company","Date200506","GWP200506","RE200506","NWP200506","GIC200506","NRR200506","RR200506","NIC200506","UWE200506","UWR200506","II200506","OI200506","NPAT200506","Date200512","GWP200512","RE200512","NWP200512","GIC200512","NRR200512","RR200512","NIC200512","UWE200512","UWR200512","II200512","OI200512","NPAT200512","Date200606","GWP200606","RE200606","NWP200606","GIC200606","NRR200606","RR200606","NIC200606","UWE200606","UWR200606","II200606","OI200606","NPAT200606","Date200612","GWP200612","RE200612","NWP200612","GIC200612","NRR200612","RR200612","NIC200612","UWE200612","UWR200612","II200612","OI200612","NPAT200612","Date200706","GWP200706","RE200706","NWP200706","GIC200706","NRR200706","RR200706","NIC200706","UWE200706","UWR200706","II200706","OI200706","NPAT200706","Date200712","GWP200712","RE200712","NWP200712","GIC200712","NRR200712","RR200712","NIC200712","UWE200712","UWR200712","II200712","OI200712","NPAT200712","Date200806","GWP200806","RE200806","NWP200806","GIC200806","NRR200806","RR200806","NIC200806","UWE200806","UWR200806","II200806","OI200806","NPAT200806","Date200812","GWP200812","RE200812","NWP200812","GIC200812","NRR200812","RR200812","NIC200812","UWE200812","UWR200812","II200812","OI200812","NPAT200812","Date200906","GWP200906","RE200906","NWP200906","GIC200906","NRR200906","RR200906","NIC200906","UWE200906","UWR200906","II200906","OI200906","NPAT200906","Date200912","GWP200912","RE200912","NWP200912","GIC200912","NRR200912","RR200912","NIC200912","UWE200912","UWR200912","II200912","OI200912","NPAT200912","Date201006","GWP201006","RE201006","NWP201006","GIC201006","NRR201006","RR201006","NIC201006","UWE201006","UWR201006","II201006","OI201006","NPAT201006"
"27","AXA CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",3147,1258,1889,2855,0,1138,1717,580,-408,92,17,-299,"31 Dec",3147,1258,1889,2855,0,1138,1717,580,-408,92,17,-299
"28","AXIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",115500,92175,23325,81989,0,64086,17903,2691,2731,463,-800,2394,"31 Dec",115500,92175,23325,81989,0,64086,17903,2691,2731,463,-800,2394,"31 Dec",-62991,-49066,-13925,-41930,0,-32391,-9539,-12296,7910,683,-13218,-4625,"31 Dec",-62991,-49066,-13925,-41930,0,-32391,-9539,-12296,7910,683,-13218,-4625
"29","BARRISTERS","30 Jun",1075,154,921,824,0,0,824,0,97,1569,-630,1036,"30 Jun",1075,154,921,824,0,0,824,0,97,1569,-630,1036,"30 Jun",1054,161,893,494,0,0,494,0,399,1799,-773,1425,"30 Jun",1054,161,893,494,0,0,494,0,399,1799,-773,1425,"30 Jun",1009,154,855,1252,0,0,1252,0,-397,2066,-646,1023,"30 Jun",1009,154,855,1252,0,0,1252,0,-397,2066,-646,1023,"30 Jun",1039,166,873,1092,0,0,1092,0,-219,281,-250,-188,"30 Jun",1039,166,873,1092,0,0,1092,0,-219,281,-250,-188,"30 Jun",1179,154,1025,1129,0,0,1129,0,-104,-91,-404,-599,"30 Jun",1179,154,1025,1129,0,0,1129,0,-104,-91,-404,-599,"30 Jun",1071,154,917,625,0,0,625,0,292,1313,-706,899
"30","BERKLEY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",1951,2623,-672,1320,0,0,1320,259,-2251,149,-46,-2148,"31 Dec",1951,2623,-672,1320,0,0,1320,259,-2251,149,-46,-2148,"31 Dec",37758,4475,33283,28907,0,2823,26084,2718,4481,3138,-6081,1538,"31 Dec",37758,4475,33283,28907,0,2823,26084,2718,4481,3138,-6081,1538,"31 Dec",42596,6256,36340,27794,0,753,27041,3784,5515,3434,-7127,1822,"31 Dec",42596,6256,36340,27794,0,753,27041,3784,5515,3434,-7127,1822
"31","BHP MARINE","30 Jun",79323,32228,47095,65907,0,31364,34543,4509,8043,20302,-8430,19915,"30 Jun",79323,32228,47095,65907,0,31364,34543,4509,8043,20302,-8430,19915,"30 Jun",110951,42574,68377,97913,0,26356,71557,5315,-8495,22625,-5671,8459,"30 Jun",110951,42574,68377,97913,0,26356,71557,5315,-8495,22625,-5671,8459,"30 Jun",149625,71728,77897,34379,0,19467,14912,6133,56852,25003,-26175,55680,"30 Jun",149625,71728,77897,34379,0,19467,14912,6133,56852,25003,-26175,55680,"30 Jun",135448,54909,80539,1212477,0,1118523,93954,4596,-18011,31053,-8241,4801,"30 Jun",135448,54909,80539,1212477,0,1118523,93954,4596,-18011,31053,-8241,4801,"30 Jun",42389,23518,18871,-57841,0,-11792,-46049,5443,59477,27945,15227,102649,"30 Jun",42389,23518,18871,-57841,0,-11792,-46049,5443,59477,27945,15227,102649,"30 Jun",13662,-3949,17611,-69480,0,-60826,-8654,360,25905,19834,-14653,31086
"32","BORAL","30 Jun",0,0,0,-18387,0,-17660,-727,0,727,1058,164,1949,"30 Jun",0,0,0,-18387,0,-17660,-727,0,727,1058,164,1949,"30 Jun",0,0,0,-2595,0,-2417,-178,0,178,1179,-479,878,"30 Jun",0,0,0,-2595,0,-2417,-178,0,178,1179,-479,878,"30 Jun",0,0,0,96,0,24,72,0,-72,1170,-449,649,"30 Jun",0,0,0,96,0,24,72,0,-72,1170,-449,649,"30 Jun",0,0,0,-6408,0,-6322,-86,0,86,1168,-458,796,"30 Jun",0,0,0,-6408,0,-6322,-86,0,86,1168,-458,796,"30 Jun",0,0,0,-191,0,-191,0,0,0,817,854,1671,"30 Jun",0,0,0,-191,0,-191,0,0,0,817,854,1671,"30 Jun",0,0,0,0,0,0,0,0,0,568,-211,357
"33","BUDGET","30 Jun",77239,1072,76167,68539,18112,1373,49054,21214,5899,-907,-4915,77,"30 Jun",77239,1072,76167,68539,18112,1373,49054,21214,5899,-907,-4915,77,"30 Jun",3239,401,2838,-6952,-459,-82,-6411,520,8729,1708,-10060,377,"30 Jun",3239,401,2838,-6952,-459,-82,-6411,520,8729,1708,-10060,377,"30 Jun",104,3,101,94,585,36,-527,-54,682,300,-173,809,"30 Jun",104,3,101,94,585,36,-527,-54,682,300,-173,809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","CALLI","31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",11914,7306,4608,9500,0,4599,4901,-471,178,2055,-8191,-5958,"31 Dec",11914,7306,4608,9500,0,4599,4901,-471,178,2055,-8191,-5958,"31 Dec",51684,28353,23331,33085,0,16185,16900,1959,4472,3201,-10141,-2468,"31 Dec",51684,28353,23331,33085,0,16185,16900,1959,4472,3201,-10141,-2468,"31 Dec",65376,37078,28298,52642,8034,26237,18371,2418,7509,3852,-12065,-704,"31 Dec",65376,37078,28298,52642,8034,26237,18371,2418,7509,3852,-12065,-704,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","CALLI GRP","31 Dec",1240,16,1224,-4265,0,1443,-5708,78,6854,3937,-778,10013,"31 Dec",213,-14,227,-262,0,-17,-245,-21,493,2790,-2962,321,"31 Dec",213,-14,227,-262,0,-17,-245,-21,493,2790,-2962,321,"31 Dec",113,462,-349,-2627,0,507,-3134,27,2758,2413,-3722,1449,"31 Dec",113,462,-349,-2627,0,507,-3134,27,2758,2413,-3722,1449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","CATHOLIC","30 Jun",212105,57327,154778,148005,954,37883,109168,26707,18903,61751,-5676,74978,"30 Jun",212105,57327,154778,148005,954,37883,109168,26707,18903,61751,-5676,74978,"30 Jun",178438,50387,128051,102739,900,13209,88630,26237,13184,85783,-6057,92910,"30 Jun",178438,50387,128051,102739,900,13209,88630,26237,13184,85783,-6057,92910,"30 Jun",143557,43932,99625,91666,0,32759,58907,31172,9546,80846,-6520,83872,"30 Jun",143557,43932,99625,91666,0,32759,58907,31172,9546,80846,-6520,83872,"30 Jun",177077,52805,124272,70416,0,11200,59216,30262,34794,-13013,-10500,11281,"30 Jun",177077,52805,124272,70416,0,11200,59216,30262,34794,-13013,-10500,11281,"30 Jun",194304,57697,136607,109034,0,23611,85423,34274,16910,-40562,-7184,-30836,"30 Jun",194304,57697,136607,109034,0,23611,85423,34274,16910,-40562,-7184,-30836,"30 Jun",180137,55748,124389,73647,0,12521,61126,37032,26231,52550,-37086,41695
"37","CAVELL","31 Dec",0,0,0,-647,0,0,-647,0,647,863,-644,866,"31 Dec",0,0,0,911,0,0,911,0,-911,665,146,-100,"31 Dec",0,0,0,911,0,0,911,0,-911,665,146,-100,"31 Dec",0,0,0,-830,0,0,-830,0,830,597,-679,748,"31 Dec",0,0,0,-830,0,0,-830,0,830,597,-679,748,"31 Dec",0,0,0,-343,203,0,-546,0,546,566,-521,591,"31 Dec",0,0,0,-343,203,0,-546,0,546,566,-521,591,"31 Dec",0,0,0,0,0,0,0,247,-247,890,-603,40,"31 Dec",0,0,0,0,0,0,0,247,-247,890,-603,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","CGU","30 Jun",2123006,206314,1916692,1288513,120498,69645,1098370,676356,141966,314082,-131135,324913,"30 Jun",2123006,206314,1916692,1288513,120498,69645,1098370,676356,141966,314082,-131135,324913,"30 Jun",1909404,233498,1675906,1218671,200754,89698,928219,679060,68627,278763,-84235,263155,"30 Jun",1909404,233498,1675906,1218671,200754,89698,928219,679060,68627,278763,-84235,263155,"30 Jun",2011898,234441,1777457,1484926,216894,189524,1078508,647549,51400,181897,-62446,170852,"30 Jun",2011898,234441,1777457,1484926,216894,189524,1078508,647549,51400,181897,-62446,170852,"30 Jun",1983600,225902,1757698,1248859,21290,48086,1179484,642839,-64626,136169,-17477,54067,"30 Jun",1983600,225902,1757698,1248859,21290,48086,1179484,642839,-64626,136169,-17477,54067,"30 Jun",1935691,206893,1728798,1491305,120106,155823,1215376,664448,-151027,242910,-21513,70369,"30 Jun",1935691,206893,1728798,1491305,120106,155823,1215376,664448,-151027,242910,-21513,70369,"30 Jun",1844013,183917,1660096,1284953,101307,79564,1104082,620283,-64269,193534,-39532,89734
"39","CGU VACC","30 Jun",-520,286,-806,-19975,1557,2877,-24409,-84,23687,34415,-13921,44181,"30 Jun",-520,286,-806,-19975,1557,2877,-24409,-84,23687,34415,-13921,44181,"30 Jun",-120,-525,405,-6616,-1468,334,-5482,-1448,7335,29254,-10523,26066,"30 Jun",-120,-525,405,-6616,-1468,334,-5482,-1448,7335,29254,-10523,26066,"30 Jun",12,-6,18,-3059,-431,5727,-8355,-90,8463,8929,-5043,12349,"30 Jun",12,-6,18,-3059,-431,5727,-8355,-90,8463,8929,-5043,12349,"30 Jun",1310,26110,-24800,-1154,2963,19028,-23145,269,-1924,4884,-1091,1869,"30 Jun",1310,26110,-24800,-1154,2963,19028,-23145,269,-1924,4884,-1091,1869,"30 Jun",1875,-98,1973,6901,5545,-1220,2575,-176,-426,2968,-1151,1391,"30 Jun",1875,-98,1973,6901,5545,-1220,2575,-176,-426,2968,-1151,1391,"30 Jun",1788,0,1788,-5054,-4502,657,-1208,386,2611,1418,-1991,2038
"40","CHUBB","31 Dec",280282,40976,239306,132690,0,22788,109902,31032,98372,28425,-68003,58794,"31 Dec",269730,43051,226679,153504,0,34105,119399,32169,75111,30898,-62685,43324,"31 Dec",269730,43051,226679,153504,0,34105,119399,32169,75111,30898,-62685,43324,"31 Dec",275060,34942,240118,176764,0,42389,134375,37298,68445,17063,-62241,23267,"31 Dec",275060,34942,240118,176764,0,42389,134375,37298,68445,17063,-62241,23267,"31 Dec",282819,41514,241305,159014,0,14551,144463,85546,11296,19760,-10212,20844,"31 Dec",282819,41514,241305,159014,0,14551,144463,85546,11296,19760,-10212,20844,"31 Dec",317995,49789,268206,204706,6141,19556,179009,97732,-8535,133066,-38069,86462,"31 Dec",317995,49789,268206,204706,6141,19556,179009,97732,-8535,133066,-38069,86462,"31 Dec",330233,64473,265760,223842,14726,45936,163180,100664,1916,-9960,2014,-6030,"31 Dec",330233,64473,265760,223842,14726,45936,163180,100664,1916,-9960,2014,-6030
"41","CHURCH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",0,0,0,-56,0,-18,-38,0,38,436,-243,231,"31 Dec",0,0,0,4,0,10,-6,0,6,511,-277,240,"31 Dec",0,0,0,4,0,10,-6,0,6,511,-277,240,"31 Dec",0,0,0,-35,-4,-29,-2,0,2,225,-158,69,"31 Dec",0,0,0,-35,-4,-29,-2,0,2,225,-158,69
"42","CIC","31 Dec",120362,120362,0,115703,2072,113631,0,0,0,522,0,522,"31 Dec",115657,115657,0,136650,-959,137609,0,0,0,503,0,503,"31 Dec",115657,115657,0,136650,-959,137609,0,0,0,503,0,503,"31 Dec",111906,111906,0,146014,114,145900,0,0,0,593,-157,436,"31 Dec",111906,111906,0,146014,114,145900,0,0,0,593,-157,436,"31 Dec",85541,85541,0,133238,11229,122009,0,0,0,691,0,691,"31 Dec",85541,85541,0,133238,11229,122009,0,0,0,691,0,691,"31 Dec",74359,74359,0,178718,17051,161667,0,0,0,770,0,770,"31 Dec",74359,74359,0,178718,17051,161667,0,0,0,770,0,770,"31 Dec",82341,82341,0,114592,-2201,116793,0,-4117,4117,397,0,4514,"31 Dec",82341,82341,0,114592,-2201,116793,0,-4117,4117,397,0,4514
"43","CIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",113313,32083,81230,59413,2226,17296,39891,19866,21473,5783,-17373,9883,"31 Dec",69834,32765,37069,39868,640,19112,20116,10557,6396,2884,-9922,-642,"31 Dec",132550,71642,60908,68004,3731,36844,27429,14290,19189,6024,-23846,1367,"31 Dec",132550,71642,60908,68004,3731,36844,27429,14290,19189,6024,-23846,1367,"31 Dec",217843,108884,108959,174850,6565,114177,54108,24756,30095,4921,-35742,-726,"31 Dec",217843,108884,108959,174850,6565,114177,54108,24756,30095,4921,-35742,-726
"44","COFACE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",12272,0,12272,24056,371,1943,21742,2351,-11821,838,794,-10189,"31 Dec",12272,0,12272,24056,371,1943,21742,2351,-11821,838,794,-10189,"31 Dec",17822,788,17034,4820,65,-276,5031,3408,8595,-5121,-4409,-935,"31 Dec",17822,788,17034,4820,65,-276,5031,3408,8595,-5121,-4409,-935
"45","COL PROT","30 Jun",0,0,0,-738,-69,0,-669,5,664,465,-344,785,"30 Jun",0,0,0,-738,-69,0,-669,5,664,465,-344,785,"30 Jun",0,0,0,-1178,-101,0,-1077,6,1071,432,-455,1048,"30 Jun",0,0,0,-1178,-101,0,-1077,6,1071,432,-455,1048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","COLOGNE RE","31 Dec",-41723,0,-41723,71859,0,0,71859,-330,-113252,7978,16683,-88591,"31 Dec",-2,0,-2,-38144,0,0,-38144,12,38130,10364,-118,48376,"31 Dec",-2,0,-2,-38144,0,0,-38144,12,38130,10364,-118,48376,"31 Dec",11,0,11,-2379,0,0,-2379,54,2336,9593,-166,11763,"31 Dec",11,0,11,-2379,0,0,-2379,54,2336,9593,-166,11763,"31 Dec",3,0,3,12324,0,0,12324,99,-12420,10359,-104,-2165,"31 Dec",3,0,3,12324,0,0,12324,99,-12420,10359,-104,-2165,"31 Dec",0,0,0,-1738,0,0,-1738,76,1662,14500,-3244,12918,"31 Dec",0,0,0,-1738,0,0,-1738,76,1662,14500,-3244,12918,"31 Dec",0,0,0,-14946,0,0,-14946,70,14876,3660,-994,17542,"31 Dec",0,0,0,-14946,0,0,-14946,70,14876,3660,-994,17542
"47","COM INSUR","30 Jun",174170,21355,152815,106100,670,6964,98466,39111,15238,8122,-7576,15784,"30 Jun",174170,21355,152815,106100,670,6964,98466,39111,15238,8122,-7576,15784,"30 Jun",188741,26533,162208,83814,-319,2865,81268,48420,32520,6873,-12500,26893,"30 Jun",188741,26533,162208,83814,-319,2865,81268,48420,32520,6873,-12500,26893,"30 Jun",204105,23981,180124,103425,2411,-5805,106819,73810,-505,8001,-2692,4804,"30 Jun",204105,23981,180124,103425,2411,-5805,106819,73810,-505,8001,-2692,4804,"30 Jun",272952,25058,247894,226399,16317,5200,204882,83851,-40839,9753,8951,-22135,"30 Jun",272952,25058,247894,226399,16317,5200,204882,83851,-40839,9753,8951,-22135,"30 Jun",366350,38385,327965,366722,11702,98760,256260,97145,-25440,14219,3021,-8200,"30 Jun",366350,38385,327965,366722,11702,98760,256260,97145,-25440,14219,3021,-8200,"30 Jun",402085,40725,361360,315290,14748,44149,256393,97527,7440,9166,-5425,11181
"48","COM STEAM","30 Jun",0,0,0,99,99,0,0,0,0,121,-91,30,"30 Jun",0,0,0,99,99,0,0,0,0,121,-91,30,"30 Jun",0,0,0,29,29,0,0,0,0,120,-104,16,"30 Jun",0,0,0,29,29,0,0,0,0,120,-104,16,"30 Jun",0,0,0,-71,-71,0,0,0,0,140,-127,13,"30 Jun",0,0,0,-71,-71,0,0,0,0,140,-127,13,"30 Jun",0,0,0,179,179,0,0,0,0,276,-259,17,"30 Jun",0,0,0,179,179,0,0,0,0,276,-259,17,"30 Jun",0,0,0,-17,-17,0,0,0,0,267,-252,15,"30 Jun",0,0,0,-17,-17,0,0,0,0,267,-252,15,"30 Jun",0,0,0,901,901,0,0,0,0,184,-173,11
"49","COMBINED","31 Dec",80911,0,80911,40691,0,0,40691,21294,18926,8279,-23486,3719,"31 Dec",84001,0,84001,36987,0,0,36987,21995,25019,6823,-25633,6209,"31 Dec",84001,0,84001,36987,0,0,36987,21995,25019,6823,-25633,6209,"31 Dec",88126,0,88126,36076,0,0,36076,22305,29745,4878,-28830,5793,"31 Dec",88126,0,88126,36076,0,0,36076,22305,29745,4878,-28830,5793,"31 Dec",92250,0,92250,31551,0,0,31551,22817,37882,4328,-31429,10781,"31 Dec",92250,0,92250,31551,0,0,31551,22817,37882,4328,-31429,10781,"31 Dec",94797,33631,61166,40462,0,17251,23211,17688,20267,15194,-26477,8984,"31 Dec",94797,33631,61166,40462,0,17251,23211,17688,20267,15194,-26477,8984,"31 Dec",97961,39185,58776,37253,0,14950,22303,6137,30336,2600,-20930,12006,"31 Dec",97961,39185,58776,37253,0,14950,22303,6137,30336,2600,-20930,12006
"50","CONVER","31 Dec",63375,16146,47229,-798,0,-337,-461,24847,22843,13962,-12810,23995,"31 Dec",5121,2948,2173,-18204,0,-188,-18016,1923,18266,10457,-12879,15844,"31 Dec",5121,2948,2173,-18204,0,-188,-18016,1923,18266,10457,-12879,15844,"31 Dec",3327,3112,215,-7399,0,947,-8346,527,8034,6802,-5188,9648,"31 Dec",3327,3112,215,-7399,0,947,-8346,527,8034,6802,-5188,9648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","COPENHAGEN","31 Dec",730,0,730,1626,0,-17,1643,231,-1144,5467,-2845,1478,"31 Dec",25,0,25,363,0,-12,375,93,-443,4917,-2051,2423,"31 Dec",25,0,25,363,0,-12,375,93,-443,4917,-2051,2423,"31 Dec",16,0,16,-2375,0,-11,-2364,5,2375,4442,-2773,4044,"31 Dec",16,0,16,-2375,0,-11,-2364,5,2375,4442,-2773,4044,"31 Dec",0,0,0,-841,0,6,-847,0,847,4404,-1874,3377,"31 Dec",0,0,0,-841,0,6,-847,0,847,4404,-1874,3377,"31 Dec",0,0,0,662,0,-3,665,0,-665,2030,-1069,296,"31 Dec",0,0,0,662,0,-3,665,0,-665,2030,-1069,296,"31 Dec",0,0,0,-947,0,0,-947,0,947,879,-403,1423,"31 Dec",0,0,0,-947,0,0,-947,0,947,879,-403,1423
"52","CORRVAS","30 Jun",0,0,0,-354,69,0,-423,0,423,916,-10,1329,"30 Jun",0,0,0,-354,69,0,-423,0,423,916,-10,1329,"30 Jun",0,0,0,-650,0,0,-650,-68,718,891,-50,1559,"30 Jun",0,0,0,-650,0,0,-650,-68,718,891,-50,1559,"30 Jun",0,0,0,14,0,0,14,0,-14,990,-13,963,"30 Jun",0,0,0,14,0,0,14,0,-14,990,-13,963,"30 Jun",0,10,-10,0,0,0,0,0,-10,1082,-34,1038,"30 Jun",0,10,-10,0,0,0,0,0,-10,1082,-34,1038,"30 Jun",0,0,0,-65,0,0,-65,0,65,815,-103,777,"30 Jun",0,0,0,-65,0,0,-65,0,65,815,-103,777,"30 Jun",0,0,0,0,0,0,0,0,0,594,-11,583
"53","CREDICORP","30 Jun",2407,0,2407,171,0,0,171,961,1275,607,-503,1379,"30 Jun",2407,0,2407,171,0,0,171,961,1275,607,-503,1379,"30 Jun",2680,0,2680,442,0,0,442,2138,100,618,-356,362,"30 Jun",2680,0,2680,442,0,0,442,2138,100,618,-356,362,"30 Jun",3808,0,3808,733,42,0,691,1295,1822,648,-701,1769,"30 Jun",3808,0,3808,733,42,0,691,1295,1822,648,-701,1769,"30 Jun",3276,0,3276,388,13,0,375,1210,1691,791,-730,1752,"30 Jun",3276,0,3276,388,13,0,375,1210,1691,791,-730,1752,"30 Jun",3201,0,3201,707,8,0,699,1125,1377,714,-644,1447,"30 Jun",3201,0,3201,707,8,0,699,1125,1377,714,-644,1447,"30 Jun",4228,0,4228,1241,62,0,1179,1120,1929,520,-902,1547
"54","CUMIS","31 Dec",22059,3530,18529,11312,1184,27,10101,4222,4206,4115,-12242,-3921,"31 Dec",46948,2385,44563,31199,3513,195,27491,8958,8114,5411,-15003,-1478,"31 Dec",46948,2385,44563,31199,3513,195,27491,8958,8114,5411,-15003,-1478,"31 Dec",68204,2506,65698,41259,7485,2456,31318,13189,21191,3741,-19570,5362,"31 Dec",68204,2506,65698,41259,7485,2456,31318,13189,21191,3741,-19570,5362,"31 Dec",73889,1561,72328,51531,9056,425,42050,16220,14058,5404,-22413,-2951,"31 Dec",73889,1561,72328,51531,9056,425,42050,16220,14058,5404,-22413,-2951,"31 Dec",78207,2601,75606,44614,7755,47,36812,17943,20851,11886,-23329,9408,"31 Dec",78207,2601,75606,44614,7755,47,36812,17943,20851,11886,-23329,9408,"31 Dec",87939,2881,85058,60444,10765,92,49587,18383,17088,3997,-22742,-1657,"31 Dec",87939,2881,85058,60444,10765,92,49587,18383,17088,3997,-22742,-1657
"55","CURASALUS","30 Sep",62083,34119,27964,25366,0,-2568,27934,5345,-5315,2813,395,-2107,"30 Sep",31092,13762,17330,3947,0,-4882,8829,2170,6331,5793,-2762,9362,"30 Sep",31092,13762,17330,3947,0,-4882,8829,2170,6331,5793,-2762,9362,"30 Sep",21024,11824,9200,3871,0,1297,2574,4494,2132,8269,-2128,8273,"30 Sep",21024,11824,9200,3871,0,1297,2574,4494,2132,8269,-2128,8273,"30 Sep",21184,12053,9131,25017,0,23569,1448,1965,5718,8690,-3099,11309,"30 Sep",21184,12053,9131,25017,0,23569,1448,1965,5718,8690,-3099,11309,"30 Sep",119,-664,783,-4927,0,1570,-6497,2845,4435,10722,-4785,10372,"30 Sep",119,-664,783,-4927,0,1570,-6497,2845,4435,10722,-4785,10372,"30 Sep",-26,236,-262,513,0,1112,-599,509,-172,3806,-1376,2258,"30 Sep",-26,236,-262,513,0,1112,-599,509,-172,3806,-1376,2258
