"","Company","Date200506","Invest200506","TotalAsset200506","ClaimReserv200506","PremLiab200506","TotalLiab200506","Equity200506","Date200512","Invest200512","TotalAsset200512","ClaimReserv200512","PremLiab200512","TotalLiab200512","Equity200512","Date200606","Invest200606","TotalAsset200606","ClaimReserv200606","PremLiab200606","TotalLiab200606","Equity200606","Date200612","Invest200612","TotalAsset200612","ClaimReserv200612","PremLiab200612","TotalLiab200612","Equity200612","Date200706","Invest200706","TotalAsset200706","ClaimReserv200706","PremLiab200706","TotalLiab200706","Equity200706","Date200712","Invest200712","TotalAsset200712","ClaimReserv200712","PremLiab200712","TotalLiab200712","Equity200712","Date200806","Invest200806","TotalAsset200806","ClaimReserv200806","PremLiab200806","TotalLiab200806","Equity200806","Date200812","Invest200812","TotalAsset200812","ClaimReserv200812","PremLiab200812","TotalLiab200812","Equity200812","Date200906","Invest200906","TotalAsset200906","ClaimReserv200906","PremLiab200906","TotalLiab200906","Equity200906","Date200912","Invest200912","TotalAsset200912","ClaimReserv200912","PremLiab200912","TotalLiab200912","Equity200912","Date201006","Invest201006","TotalAsset201006","ClaimReserv201006","PremLiab201006","TotalLiab201006","Equity201006"
"48","COM INSUR","30 Jun",40622,243766,99826,71320,189288,54478,"30 Jun",40622,243766,99826,71320,189288,54478,"30 Jun",42556,261443,85526,74245,199925,61518,"30 Jun",42556,261443,85526,74245,199925,61518,"30 Jun",45408,258622,93914,75753,206801,51821,"30 Jun",45408,258622,93914,75753,206801,51821,"30 Jun",150162,367512,117345,146466,292226,75286,"30 Jun",150162,367512,117345,146466,292226,75286,"30 Jun",163130,510529,183933,179063,413443,97086,"30 Jun",163130,510529,183933,179063,413443,97086,"30 Jun",208341,542111,190680,182010,433844,108267
"49","COM STEAM","30 Jun",2253,4652,2250,0,2320,2332,"30 Jun",2253,4652,2250,0,2320,2332,"30 Jun",2147,4439,1995,0,2090,2348,"30 Jun",2147,4439,1995,0,2090,2348,"30 Jun",3937,6191,1885,0,2006,4185,"30 Jun",3937,6191,1885,0,2006,4185,"30 Jun",4041,6344,2054,0,2142,4202,"30 Jun",4041,6344,2054,0,2142,4202,"30 Jun",4124,6337,2028,0,2120,4217,"30 Jun",4124,6337,2028,0,2120,4217,"30 Jun",4007,7236,2922,0,3008,4228
"50","COMBINED","31 Dec",123049,159833,62155,11348,92916,66917,"31 Dec",110313,135323,21617,12883,48356,86967,"31 Dec",110313,135323,21617,12883,48356,86967,"31 Dec",94824,124261,20395,14938,51750,72511,"31 Dec",94824,124261,20395,14938,51750,72511,"31 Dec",98945,125196,18435,13485,54521,70675,"31 Dec",98945,125196,18435,13485,54521,70675,"31 Dec",103888,137502,21760,14343,57843,79659,"31 Dec",103888,137502,21760,14343,57843,79659,"31 Dec",87705,118252,21544,13267,53288,64964,"31 Dec",87705,118252,21544,13267,53288,64964
"51","CONVER","31 Dec",194738,232893,124781,15527,153213,79680,"31 Dec",170863,202473,90212,3257,106867,95606,"31 Dec",170863,202473,90212,3257,106867,95606,"31 Dec",159590,186620,67605,5672,81448,105172,"31 Dec",159590,186620,67605,5672,81448,105172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","COPENHAGEN","31 Dec",88013,91216,34034,0,45690,45526,"31 Dec",79681,81863,26067,0,33975,47888,"31 Dec",79681,81863,26067,0,33975,47888,"31 Dec",75387,76449,17450,0,24470,51979,"31 Dec",75387,76449,17450,0,24470,51979,"31 Dec",35293,36445,7945,0,13562,22883,"31 Dec",35293,36445,7945,0,13562,22883,"31 Dec",27375,28432,7200,0,8578,19854,"31 Dec",27375,28432,7200,0,8578,19854,"31 Dec",18923,19985,4374,0,4582,15403,"31 Dec",18923,19985,4374,0,4582,15403
"53","CORRVAS","30 Jun",15775,16180,2394,0,2778,13402,"30 Jun",15775,16180,2394,0,2778,13402,"30 Jun",16076,16110,1744,0,2099,14011,"30 Jun",16076,16110,1744,0,2099,14011,"30 Jun",15169,15180,1711,0,2006,13174,"30 Jun",15169,15180,1711,0,2006,13174,"30 Jun",14771,14780,1366,0,1667,13113,"30 Jun",14771,14780,1366,0,1667,13113,"30 Jun",14718,14724,1301,0,1675,13049,"30 Jun",14718,14724,1301,0,1675,13049,"30 Jun",14753,14775,1301,0,1616,13159
"54","CREDICORP","30 Jun",10593,11827,460,4246,5092,6735,"30 Jun",10593,11827,460,4246,5092,6735,"30 Jun",10686,11960,520,4293,4860,7100,"30 Jun",10686,11960,520,4293,4860,7100,"30 Jun",10721,11766,473,4751,5434,6332,"30 Jun",10721,11766,473,4751,5434,6332,"30 Jun",10935,12144,368,4896,5560,6584,"30 Jun",10935,12144,368,4896,5560,6584,"30 Jun",11091,12226,574,4982,5695,6531,"30 Jun",11091,12226,574,4982,5695,6531,"30 Jun",11377,13244,686,5659,6610,6634
"55","CUMIS","31 Dec",64766,88406,11003,29458,54901,33505,"31 Dec",86230,123169,15331,42030,78113,45056,"31 Dec",86229,123169,15331,42030,78113,45056,"31 Dec",88731,138731,19053,45434,88313,50418,"31 Dec",88731,138731,19053,45434,88313,50418,"31 Dec",105764,160338,23706,51100,100793,59545,"31 Dec",105764,160338,23706,51100,100793,59545,"31 Dec",117318,171005,27093,45568,102052,68953,"31 Dec",117318,171005,27093,45568,102052,68953,"31 Dec",93467,154800,28248,50627,115475,39325,"31 Dec",93467,154800,28248,50627,115475,39325
"56","CURASALUS","30 Sep",73389,132415,37769,20927,84079,48336,"30 Sep",122516,158919,30486,22754,71221,87698,"30 Sep",122516,158919,30486,22754,71221,87698,"30 Sep",130167,158602,28446,16283,62631,95972,"30 Sep",130167,158602,28446,16283,62631,95972,"30 Sep",134894,188101,49403,14000,80820,107281,"30 Sep",134894,188101,49403,14000,80820,107281,"30 Sep",102765,117674,36435,0,40021,77653,"30 Sep",102765,117674,36435,0,40021,77653,"30 Sep",99483,107593,24157,0,27681,79912,"30 Sep",99483,107593,24157,0,27681,79912
"57","DOMESTIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Mar",7750,7968,0,0,101,7867,"31 Mar",7750,7968,0,0,101,7867,"31 Mar",8005,9381,2,522,1124,8257,"31 Mar",8005,9381,2,522,1124,8257,"31 Mar",8013,10168,234,1651,2516,7652
"58","EIG ANSVAR","31 Dec",122251,203834,92994,43854,158850,44984,"31 Dec",140401,226969,100033,47417,168046,58923,"31 Dec",140401,227678,100033,47417,168755,58923,"31 Dec",162097,263113,120321,47155,193750,69363,"31 Dec",162097,263113,120321,47155,193750,69363,"31 Dec",170848,302184,149126,57909,231522,70662,"31 Dec",170848,302184,149126,57909,231522,70662,"31 Dec",187126,332065,166474,67532,258916,73149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","ELDERS","30 Jun",151615,379426,141659,114479,315304,64122,"30 Jun",151615,379426,141659,114479,315304,64122,"30 Jun",155295,421311,165742,124081,346788,74523,"30 Jun",155295,421311,165742,124081,346788,74523,"30 Jun",165521,438995,184356,129017,376595,62400,"30 Jun",165521,438995,184356,129017,376595,62400,"30 Jun",164392,486443,191286,158162,415984,70459,"30 Sep",164392,486443,191286,158162,415984,70459,"30 Jun",209846,575242,217656,178876,479495,95747,"31 Dec",211845,597339,236963,165038,494237,103102,"31 Dec",211845,597339,236963,165038,494237,103102
"60","EMPLOY MUT","30 Jun",47260,74731,9665,1995,29705,45026,"30 Jun",47260,74731,9665,1995,29705,45026,"30 Jun",50944,77135,14606,1050,24630,52505,"30 Jun",50944,77135,14606,1050,24630,52505,"30 Jun",61444,104473,17031,499,31757,72716,"30 Jun",61444,104473,17031,499,31757,72716,"30 Jun",62272,95661,18171,57,26037,69624,"30 Jun",62272,95661,18171,57,26037,69624,"30 Jun",63152,99174,17127,0,25537,73637,"30 Jun",63152,99174,17127,0,25537,73637,"30 Jun",75756,106843,16282,0,28071,78772
"61","EMPLOY RE","31 Dec",678161,855503,479369,126228,643209,212294,"31 Dec",816887,924988,536722,100253,685108,239880,"31 Dec",816887,924988,536722,100253,685108,239880,"31 Dec",842159,907179,506157,62383,609202,297977,"31 Dec",842159,907179,506157,62383,609202,297977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","FARM MIL","31 Mar",30077,53810,15894,15045,35000,18810,"31 Mar",30077,53810,15894,15045,35000,18810,"31 Mar",32421,78328,21844,23584,62932,15396,"31 Mar",32421,78328,21844,23584,62932,15396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","FIRST AM","31 Dec",4364,11665,2975,0,4967,6698,"31 Dec",8036,14579,5585,0,7594,6985,"31 Dec",8036,14579,5585,0,7594,6985,"31 Dec",7630,17061,7116,0,9107,7953,"31 Dec",7630,17061,7116,0,9107,7953,"31 Dec",5192,20099,7137,0,10008,10090,"31 Dec",5192,20099,7137,0,10008,10090,"31 Dec",9246,17847,7628,0,8612,9235,"31 Dec",9246,17847,7628,0,8612,9235,"31 Dec",9326,18335,7573,0,9403,8933,"31 Dec",9326,18335,7573,0,9403,8933
"64","FM INS","31 Dec",161702,279552,76956,66382,179130,100422,"31 Dec",145257,278858,113671,58779,213715,65143,"31 Dec",145257,278858,113671,58779,213715,65143,"31 Dec",165663,354374,132823,68039,242356,112018,"31 Dec",165663,354374,132823,68039,242356,112018,"31 Dec",199811,476231,196523,62593,359577,116654,"31 Dec",199811,476231,196523,62593,359577,116654,"31 Dec",131435,391547,129669,82951,288488,103059,"31 Dec",131435,391547,129669,82951,288488,103059,"31 Dec",217964,358929,87137,77303,224671,134258,"31 Dec",217964,358929,87137,77303,224671,134258
"65","FORTRON","30 Jun",11820,25342,4074,7959,18453,6889,"30 Jun",13475,25342,4074,7959,18453,6889,"30 Jun",13354,20931,3408,5445,13374,7557,"30 Jun",11630,20931,3408,5445,13374,7557,"30 Jun",12651,21959,2907,6006,13228,8731,"30 Jun",12651,21959,2907,6006,13228,8731,"30 Jun",14835,21860,2897,5524,11551,10309,"30 Jun",14835,21860,2897,5524,11551,10309,"30 Jun",6500,12879,2713,6605,11648,1231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","GE MORT","31 Dec",1169133,1843161,15961,290956,354038,1489123,"31 Dec",1411210,2200006,53380,396376,556611,1643395,"31 Dec",1411210,2200006,53380,396376,556611,1643395,"31 Dec",1783053,1989053,148117,504982,787455,1201598,"31 Dec",1783053,1989053,148117,504982,787455,1201598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","GEN LMI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",132226,140400,1987,11620,37358,103042,"31 Dec",132226,140400,1987,11620,37358,103042,"31 Dec",77924,94219,1194,2476,23050,71169,"31 Dec",77924,94219,1194,2476,23050,71169,"31 Dec",68904,86381,717,1913,22618,63763,"31 Dec",68904,86381,717,1913,22618,63763,"31 Dec",36974,48509,514,653,5510,43001,"31 Dec",36974,48509,514,653,5510,43001
"68","GEN MORT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",2251461,2576483,207216,593178,961113,1615370,"31 Dec",2251461,2576483,207216,593178,961113,1615370,"31 Dec",2536661,2860286,227029,727351,1071143,1789143,"31 Dec",2536661,2860286,227029,727351,1071143,1789143,"31 Dec",2817661,3169525,281921,785238,1182386,1987137,"31 Dec",2817661,3169525,281921,785238,1182386,1987137
"69","GEN RE","31 Dec",669398,1197086,699100,72988,971484,225602,"31 Dec",709219,1165633,649091,61360,917998,247635,"31 Dec",709218,1165633,649091,61360,917998,247635,"31 Dec",659870,1063080,597256,68053,803936,259144,"31 Dec",659870,1063080,597256,68053,803936,259144,"31 Dec",640503,966627,518079,50819,720449,246178,"31 Dec",640503,966627,518079,50819,720449,246178,"31 Dec",908590,1011902,493367,58153,644674,367228,"31 Dec",908590,1011902,493367,58153,644674,367228,"31 Dec",747695,852111,280640,58301,441811,410300,"31 Dec",747695,852111,280640,58301,441811,410300
"70","GERLING","31 Dec",84312,291051,256201,3393,268579,22472,"31 Dec",80479,244491,198397,2061,211123,33368,"31 Dec",80479,244491,198397,2061,211123,33368,"31 Dec",72145,208233,159273,2047,174862,33371,"31 Dec",72145,208233,159273,2047,174862,33371,"31 Dec",57624,201715,159611,1733,168373,33342,"31 Dec",57624,201715,159611,1733,168373,33342,"31 Dec",52477,210196,141796,3063,176849,33347,"31 Dec",52477,210196,141796,3063,176849,33347,"31 Dec",36128,165790,121210,1510,141722,24068,"31 Dec",36128,165790,121210,1510,141722,24068
"71","GIO GEN","30 Jun",2647805,3696160,1824253,697675,2881668,814492,"30 Jun",2647805,3696160,1824253,697675,2881668,814492,"30 Jun",2675904,3605238,1825514,754937,2893616,711622,"30 Jun",2675904,3605238,1825514,754937,2893616,711622,"30 Jun",2813420,3891392,1806190,817654,3136288,755104,"30 Jun",2813420,3891392,1806190,817654,3136288,755104,"30 Jun",2700964,3855664,1883974,860091,3076527,779137,"30 Jun",2700964,3855664,1883974,860091,3076527,779137,"30 Jun",2336735,3530922,1790862,796388,2945911,585011,"30 Jun",2336735,3530922,1790862,796388,2945911,585011,"30 Jun",2413408,3770051,1889781,798152,3236077,533974
"72","GORDIAN","31 Dec",1627378,1910023,1055329,894,1175016,735007,"31 Dec",1600981,1785040,918152,20,999821,785219,"31 Dec",1600981,1785040,918152,20,999821,785219,"31 Dec",1307863,1427166,697204,0,731474,695692,"31 Dec",1307863,1427166,697204,0,731474,695692,"31 Dec",1019670,1108766,446956,0,511095,597671,"31 Dec",1019670,1108766,446956,0,511095,597671,"31 Dec",921071,976676,381087,0,401770,574906,"31 Dec",921071,976676,381087,0,401770,574906,"31 Dec",798243,855617,214208,0,248441,607176,"31 Dec",798243,855617,214208,0,248441,607176
"73","GRT LAKES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA,"31 Dec",17292,84358,9720,18596,69683,14676,"31 Dec",17292,84358,9720,18596,69683,14676,"31 Dec",27934,212519,44605,49118,190887,21632,"31 Dec",27934,212519,44605,49118,190887,21632
"74","GUILD INS","30 Jun",117219,230068,108816,45443,178524,51544,"30 Jun",117219,230068,108816,45443,178524,51544,"30 Jun",133429,251244,117793,48357,195346,55898,"30 Jun",133429,251244,117793,48357,195346,55898,"30 Jun",163207,283124,131968,50968,212490,70634,"30 Jun",163207,283124,131968,50968,212490,70634,"30 Jun",162492,267694,113489,55712,194322,73372,"30 Jun",162492,267694,113489,55712,194322,73372,"30 Jun",175743,283366,121606,59291,208556,74810,"30 Jun",175743,283366,121606,59291,208556,74810,"30 Jun",203928,325664,132723,73729,236673,88991
"75","HALLMARK","31 Dec",71034,98314,12854,32487,53191,45123,"31 Dec",93072,128738,8539,36352,54285,74453,"31 Dec",93072,128738,8539,36352,54285,74453,"31 Dec",143508,176827,6377,48005,67791,109037,"31 Dec",143508,176827,6377,48005,67791,109037,"31 Dec",154857,184183,6931,32007,46119,138064,"31 Dec",154857,184183,6931,32007,46119,138064,"31 Dec",163647,193858,7063,32813,47724,146134,"31 Dec",163647,193858,7063,32813,47724,146134,"31 Dec",130298,160280,8771,42869,65161,95119,"31 Dec",130298,160280,8771,42869,65161,95119
"76","HANNOVER","31 Dec",577671,729086,459820,69322,562629,166457,"31 Dec",518357,651309,324338,101627,446712,204597,"31 Dec",518357,651309,324338,101627,446712,204597,"31 Dec",500971,625710,345659,107590,458178,167532,"31 Dec",500971,625710,345659,107590,458178,167532,"31 Dec",546617,690057,389884,113860,516548,173509,"31 Dec",546617,690057,389884,113860,516548,173509,"31 Dec",669406,808509,455155,130645,598828,209681,"31 Dec",669406,808509,455155,130645,598828,209681,"31 Dec",761828,903015,453281,146778,639174,263841,"31 Dec",761828,903015,453281,146778,639174,263841
"77","HBF INS","30 Jun",44065,64502,13863,15084,37244,27258,"30 Jun",44065,64502,13863,15084,37244,27258,"30 Jun",51191,88527,13103,29686,55603,32924,"30 Jun",51191,88527,13103,29686,55603,32924,"30 Jun",58701,98423,15474,31659,55192,43231,"30 Jun",58701,98423,15474,31659,55192,43231,"30 Jun",64986,109435,20151,35738,66126,43309,"30 Jun",64986,109435,20151,35738,66126,43309,"30 Jun",51167,118870,21061,40585,72520,46351,"30 Jun",51167,118870,21061,40585,72520,46351,"30 Jun",66896,179015,66485,41119,124464,54551
"78","HDIGERLING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",0,15551,185,681,1724,13827,"31 Dec",0,15551,185,681,1724,13827
"79","HOLLARD","30 Jun",23178,89833,19453,18686,62315,27518,"30 Jun",23178,89833,19453,18686,62315,27518,"30 Jun",26228,112121,29835,26880,88291,23830,"30 Jun",26228,112121,29835,26880,88291,23830,"30 Jun",49177,136694,34543,33382,106704,29990,"30 Jun",49177,136694,34543,33382,106704,29990,"30 Jun",30458,163428,44308,40660,139198,24230,"30 Jun",30458,163428,44308,40660,139198,24230,"30 Jun",47576,201307,52338,61961,160700,40607,"30 Jun",47576,201307,52338,61961,160700,40607,"30 Jun",58371,226084,62139,77784,178766,47317
"80","HOTEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",18471,30940,173,4814,10480,20460,"30 Jun",18471,30940,173,4814,10480,20460,"30 Jun",21374,49625,6875,9202,27570,22054,"30 Jun",21374,49625,6875,9202,27570,22054,"30 Jun",28695,66193,16616,11434,44056,22136
"81","HPIA","30 Jun",54507,82257,31129,9313,57775,24482,"30 Jun",54507,82257,31129,9313,57775,24482,"30 Jun",80592,121247,35274,13436,73084,48163,"30 Jun",80592,121247,35274,13436,73084,48163,"30 Jun",107924,132450,49552,8136,74214,58236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","HSB","31 Dec",18545,31339,1407,12487,15312,16027,"31 Dec",19961,35883,4532,14853,20967,14916,"31 Dec",19961,35883,4532,14853,20967,14916,"31 Dec",19727,31566,5730,15954,24221,7345,"31 Dec",19727,31566,5730,15954,24221,7345,"31 Dec",24743,34132,6303,12252,21972,12160,"31 Dec",24743,34132,6303,12252,21972,12160,"31 Dec",26103,33638,5845,5040,13115,20523,"31 Dec",26103,33638,5845,5040,13115,20523,"31 Dec",23744,32762,4797,4819,12395,20367,"31 Dec",23744,32762,4797,4819,12395,20367
"83","IAG RE","30 Jun",6132,6160,0,0,325,5835,"30 Jun",6132,6160,0,0,325,5835,"30 Jun",6481,6511,0,0,338,6173,"30 Jun",6481,6511,0,0,338,6173,"30 Jun",6893,6928,0,0,464,6464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","IAG RE AUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",724830,2256014,1183479,492902,1822487,433527,"30 Jun",724830,2256014,1183479,492902,1822487,433527,"30 Jun",725189,1885384,732020,489942,1416302,469082,"30 Jun",725189,1885384,732020,489942,1416302,469082,"30 Jun",792504,2019921,788719,562685,1560000,459920,"30 Jun",792504,2019921,788719,562685,1560000,459920,"30 Jun",645571,2184748,905440,569268,1651870,532877
"85","IAL","30 Jun",7817428,10331321,3964987,1355204,6704752,3626569,"30 Jun",7817428,10331321,3964987,1355204,6704752,3626569,"30 Jun",7454788,10039998,3965868,1233555,6902009,3137990,"30 Jun",7454788,10039998,3965868,1233555,6902009,3137990,"30 Jun",7355483,10530093,4335986,1197546,7289651,3240442,"30 Jun",7355483,10530093,4335986,1197546,7289651,3240442,"30 Jun",7257005,9953128,3944908,1240192,6917856,3035272,"30 Jun",7257005,9953128,3944908,1240192,6917856,3035272,"30 Jun",7767443,10569442,4185076,1354153,7643677,2925766,"30 Jun",7767443,10566962,4185076,1354153,7635412,2931550,"30 Jun",7863022,10659254,4442173,1450782,7340913,3318340
"86","IMA","30 Jun",1430539,2239907,462197,986857,1667164,572743,"30 Jun",1430539,2239907,462197,986857,1667164,572743,"30 Jun",1418821,2129502,390871,856660,1496215,633288,"30 Jun",1418821,2129502,390871,856660,1496215,633288,"30 Jun",1383913,2486784,718765,867083,1881413,605371,"30 Jun",1383913,2486784,718765,867083,1881413,605371,"30 Jun",1336718,2160638,507838,921158,1654760,505879,"30 Jun",1336718,2160638,507838,921158,1654760,505879,"30 Jun",1482926,2299066,490784,934520,1695227,603839,"30 Jun",1482926,2299066,490784,934520,1695227,603839,"30 Jun",1589703,2602299,619972,939137,1976010,626288
"87","ING","31 Dec",29282,40481,2727,11167,19281,21200,"31 Dec",42202,56159,4422,13977,27143,29016,"31 Dec",42202,56159,4422,13977,27143,29016,"31 Dec",66722,101342,8266,33056,59619,41723,"31 Dec",66722,101342,8266,33056,59619,41723,"31 Dec",90908,130070,14029,39900,71950,58120,"31 Dec",90908,130070,14029,39900,71950,58120,"31 Dec",64276,146077,17274,59841,85834,60243,"31 Dec",64276,146077,17274,59841,85834,60243,"31 Dec",100747,236627,25658,88702,134651,101976,NA,NA,NA,NA,NA,NA,NA
"88","INTHANN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",0,11795,4,2155,5060,6735,"31 Dec",0,11795,4,2155,5060,6735,"31 Dec",6928,32295,2491,9482,24065,8230,"31 Dec",6928,32295,2491,9482,24065,8230
"89","KEMPER INS","31 Dec",8322,8679,5038,0,5122,3557,"31 Dec",4382,4627,713,0,1070,3557,"31 Dec",4382,4627,713,0,1070,3557,"31 Dec",3964,4341,669,0,760,3581,"31 Dec",3964,4341,669,0,760,3581,"31 Dec",4115,4295,514,0,564,3731,"31 Dec",4115,4295,514,0,564,3731,"31 Dec",4000,4329,1278,0,1848,2481,"31 Dec",4000,4329,1278,0,1848,2481,"31 Dec",3483,3752,961,0,1006,2746,"31 Dec",3483,3752,961,0,1006,2746
"90","LAWCOVER","30 Jun",96030,175544,52435,56371,156731,18813,"30 Jun",96030,175544,52435,56371,156731,18813,"30 Jun",141894,235025,88405,61478,206866,28159,"30 Jun",141894,235025,88405,61478,206866,28159,"30 Jun",168863,276010,119693,60910,236480,39530,"30 Jun",168863,276010,119693,60910,236480,39530,"30 Jun",174202,299784,136971,65492,251814,47970,"30 Jun",174202,299784,136971,65492,251814,47970,"30 Jun",198801,336478,158168,64743,272629,63849,"30 Jun",198801,336478,158168,64743,272629,63849,"30 Jun",226291,351517,166070,65414,280564,70953
"91","LIBERTY","31 Dec",271479,581718,341471,106671,495772,85946,"31 Dec",319562,615734,382317,85474,519958,95776,"31 Dec",319562,615734,382317,85474,519958,95776,"31 Dec",356755,686850,430452,84736,572067,114783,"31 Dec",356755,686850,430452,84736,572067,114783,"31 Dec",404248,735306,436752,86570,603363,131943,"31 Dec",404248,735306,436752,86570,603363,131943,"31 Dec",460411,800309,411737,112264,580974,219335,"31 Dec",460411,800309,411737,112264,580974,219335,"31 Dec",481792,877701,472773,129576,638204,239497,"31 Dec",481792,877701,472773,129576,638204,239497
"92","LIONHEART","30 Jun",2833,4403,256,1600,3309,1094,"30 Jun",2833,4403,256,1600,3309,1094,"30 Jun",2835,3357,258,479,2396,961,"30 Jun",2835,3357,258,479,2396,961,"30 Jun",NA,NA,NA,NA,NA,NA,"30 Jun",2834,2962,218,0,2214,748,"30 Jun",6387,6461,0,0,2095,4366,"30 Jun",6387,6461,0,0,2095,4366,"30 Jun",NA,NA,NA,NA,NA,NA,"30 Jun",NA,NA,NA,NA,NA,NA,"30 Jun",NA,NA,NA,NA,NA,NA
"93","LUMLEY GEN","30 Jun",282941,716410,292404,192547,597950,118460,"30 Jun",282941,716410,292404,192547,597950,118460,"30 Jun",290686,726330,351328,165880,609625,116705,"30 Jun",290686,726330,351328,165880,609625,116705,"30 Jun",378578,874927,393233,248876,763472,111455,"30 Jun",378578,874927,393233,248876,763472,111455,"30 Jun",551992,1204183,480595,386715,1003382,200801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","MASTER BUT","01 Dec",NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA,"01 Dec",NA,NA,NA,NA,NA,NA
"95","MDA","30 Jun",67256,164132,90323,15614,132508,31624,"30 Jun",67256,164132,90323,15614,132508,31624,"30 Jun",114396,209599,119341,14901,162974,46625,"30 Jun",114396,209599,119341,14901,162974,46625,"30 Jun",161570,244911,136961,17163,182705,62206,"30 Jun",161570,244911,136961,17163,182705,62206,"30 Jun",177622,274833,160366,21925,208345,66488,"30 Jun",177622,274833,160366,21925,208345,66488,"30 Jun",179174,309693,179841,21593,232803,76890,"30 Jun",179174,309693,179841,21593,232803,76890,"30 Jun",207169,315134,170145,20339,217536,97598
